make,avg_selling_price,avg_mmr,avg_pricing_gap,avg_pricing_gap_pct,pct_above_mmr,avg_vehicle_age,transaction_count
ACURA,13104.780146568954,13104.569176104818,0.2109704641350211,0.011777911012259184,0.5156562291805463,18.082389518099045,4503
ASTON MARTIN,55500.0,54075.0,1425.0,0.025428213768485006,0.5833333333333334,18.416666666666668,24
AUDI,20010.167638483967,20183.38192419825,-173.21428571428572,-0.013552872354162719,0.4872969596001666,16.58100791336943,4802
BENTLEY,72713.33333333333,74077.14285714286,-1363.8095238095239,-0.011712941776897632,0.4857142857142857,18.16190476190476,105
BMW,21290.04386315609,21407.958764064195,-117.9149009081044,-0.0018725978560389283,0.47467016962704894,16.57747444171569,17509
BUICK,10588.182102908277,10765.26845637584,-177.0863534675615,-0.025792746100422138,0.46554809843400446,17.659955257270692,4470
CADILLAC,14733.198891528107,14853.45209817894,-120.25320665083136,-0.00683129063523218,0.4783847980997625,18.10530482977039,6315
CHEVROLET,11866.210433979686,12022.96675900277,-156.75632502308403,-0.009129050630144247,0.474404432132964,15.945410895660203,54150
CHRYSLER,10627.0878873984,10866.44089076852,-239.35300337011827,-0.02128873823833794,0.44822573184431375,15.643097865591754,15133
DAEWOO,450.0,487.5,-37.5,-0.06842105263157897,0.5,25.0,2
DODGE,10963.794341635701,11157.709429380817,-193.91508774511607,-0.01861731346385631,0.46716456348184393,15.558331187226372,27181
FERRARI,128852.94117647059,130823.5294117647,-1970.5882352941176,-0.013923445741849616,0.47058823529411764,15.764705882352942,17
FIAT,9927.416551724138,10092.413793103447,-164.99724137931034,-0.015768292048572573,0.5089655172413793,12.886896551724139,725
FISKER,46461.11111111111,49100.0,-2638.8888888888887,-0.054591285883673096,0.3333333333333333,14.0,9
FORD,14829.809413304038,15007.59939762754,-177.78998432350363,-0.008400852858898626,0.45851900312295557,14.887487193413403,81013
GEO,576.5625,598.4375,-21.875,-0.021910692112245306,0.5,30.25,16
GMC,16769.46783118151,16840.596180969947,-71.12834978843442,0.006143494565304389,0.48681783660627104,16.76608440924379,9217
HONDA,10942.928453250473,10991.58024292805,-48.651789677575564,0.003653751151475581,0.5028852750090795,17.011581453532948,24781
HUMMER,15404.606770833334,15125.618489583334,278.98828125,0.018168140204230212,0.5559895833333334,19.950520833333332,768
HYUNDAI,11062.017417868054,11255.091376815477,-193.07395894742484,-0.012702908953331931,0.49091591189238437,14.536416742590706,18659
INFINITI,20562.79630290486,20649.691313967596,-86.89501106273642,-0.0027219477226244028,0.4782670758689601,14.81100563842695,14011
ISUZU,1774.1620111731843,1808.1005586592178,-33.93854748603352,0.03750246724677023,0.4301675977653631,24.223463687150836,179
JAGUAR,19429.853619729514,19833.194112967383,-403.3404932378679,-0.007244527581095928,0.42402545743834524,18.499602227525855,1257
JEEP,14755.975736160188,14885.83431488025,-129.8585787200628,-0.010962425574265756,0.4749901845308206,16.20306242638398,12735
KIA,11767.570823856457,11904.345147839273,-136.77432398281528,-0.011460399099284365,0.472201162496841,13.875663381349508,15828
LAMBORGHINI,111500.0,113666.66666666667,-2166.6666666666665,-0.019038356538356536,0.0,19.0,3
LAND ROVER,33225.28744326778,33570.53706505295,-345.249621785174,-0.0009820905412951724,0.47049924357034795,15.838124054462934,1322
LEXUS,20284.201652416177,20371.12354693054,-86.92189451436258,0.006007803190714195,0.461427610721491,16.635603804400038,10409
LINCOLN,17547.19143321153,17730.06496142915,-182.8735282176208,0.010709506484912881,0.4602111246447422,15.815671944782785,4926
LOTUS,40800.0,40300.0,500.0,0.01240694789081886,1.0,19.0,1
MASERATI,43729.81651376147,44708.71559633027,-978.8990825688073,-0.019298290583873272,0.3853211009174312,16.862385321100916,109
MAZDA,10228.57041847042,10334.264069264069,-105.69365079365079,-0.0012214852619924063,0.48528138528138526,15.683694083694084,6930
MERCEDES-BENZ,21314.872215876643,21632.17447173044,-317.3022558537978,0.0010464942552189768,0.4320388349514563,16.647130211307825,14008
MERCURY,3996.944621260344,4145.114576702737,-148.1699554423934,-0.02135877371894564,0.4341183959261617,20.88096753660089,1571
MINI,12389.426340801087,12460.132382892058,-70.70604209097081,-0.005084876525823044,0.49015614392396467,15.46673455532926,2946
MITSUBISHI,8035.456978967495,8151.2018574160065,-115.74487844851133,0.0048441877244304295,0.4785577711007921,16.73067467904944,3661
NISSAN,11745.442885362032,11856.737165951457,-111.29428058942398,-0.007925965541452428,0.4762845401085303,15.09665554117567,44043
OLDSMOBILE,953.7735849056604,1106.682389937107,-152.90880503144655,0.06659397096419965,0.3710691823899371,25.367924528301888,318
PLYMOUTH,11845.3125,13812.5,-1967.1875,-0.09730952751301129,0.25,26.9375,16
PONTIAC,3814.8646092583376,4009.6254355400697,-194.7608262817322,-0.05406525674531782,0.42234942757590843,20.20955699352912,4018
PORSCHE,38932.109766637856,39143.28003457217,-211.17026793431288,-0.0026001557947815395,0.4814174589455488,16.77960242005186,1157
RAM,25257.458209693374,25495.876607319486,-238.41839762611275,-0.009656942253533697,0.47477744807121663,13.202027695351138,4044
ROLLS-ROYCE,153456.25,154812.5,-1356.25,-0.0074301182445054795,0.375,14.875,16
SAAB,3616.346153846154,3739.7235576923076,-123.37740384615384,0.047554500222256206,0.4639423076923077,20.71153846153846,416
SATURN,3436.3813229571983,3563.7256809338523,-127.3443579766537,-0.004582574362464242,0.4501945525291829,20.63968871595331,2570
SCION,9736.213592233009,9808.349514563106,-72.13592233009709,-0.008830729996110084,0.4925566343042071,15.550161812297734,1545
SMART,6301.603498542274,6366.180758017493,-64.57725947521865,-0.004254366787557696,0.49271137026239065,14.384839650145773,343
SUBARU,15583.41817349508,15669.28358892195,-85.86541542687114,-0.0037344209599333446,0.47882810711833373,15.029068436713207,4369
SUZUKI,4009.7697031729786,3985.3633572159674,24.406345957011258,0.02975554334256047,0.5179119754350051,18.06448311156602,977
TESLA,67054.34782608696,67813.04347826086,-758.695652173913,-0.009863935707305925,0.43478260869565216,12.782608695652174,23
TOYOTA,12422.457197066236,12529.356044516184,-106.89884744994761,-0.004805664593407601,0.4674199303372696,15.86146744824852,35313
VOLKSWAGEN,9374.792022263451,9502.602040816326,-127.81001855287569,-0.007647531016378944,0.47430426716141,16.17207792207792,10780
VOLVO,10927.677482154446,11075.892277741727,-148.21479558728097,-0.00451129951330932,0.44873458792991566,18.08565866320571,3082
